HREF,linkText,About,Contact,Team,Investor,Product,Career,News,ECommerce,Resources,Pricing,Social,Portal,Legal,Blog,Exclude
https://www.gn.com/Newsroom#subscribe,Subscribe to newsletter,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
https://www.gn.com/About/Document-download-center/Bonds-and-warrants-and-EMTN,Debt investor,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
https://www.gn.com/Investor,Financial calendar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Investor/ESG,Sustainability I ESG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/-/media/Files/Financial-Download-Center/2023/Q1/GN-Annual-Report-2022.pdf,Download latest ESG report,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
https://www.gn.com/-/media/Files/Document-Download-Center/Corporate-governance/GN-Tax-Policy.pdf,Tax policy,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
https://www.gn.com/Investor/Investor-Relation-team-and-policy,Investor Relations team and policy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Investor/AGM,Annual general meeting,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Investor/Share-information,Share information,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Investor/Share-information#share-graph,Share graph,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Investor/Share-information#analysts,Analysts,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Investor/Share-information#ownership,Ownership,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Investor/Share-information#shareholdercomm,Shareholder communication,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Investor/Share-information#latest-share-trades,Latest share trades,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Investor/Share-information#historical-share-prices,Historical share prices,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Investor/Share-information#investment-calculator,Investment calculator,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
javascript:void(0);,"
            Newsroom
        ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
https://www.gn.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Newsroom,GN News,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
https://www.gn.com/Newsroom/News#!#2023%7CEnglish%7CPressRelease,Press release,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
https://www.gn.com/Newsroom/News#!#2023%7CEnglish%7CCompanyAnnouncement,Company announcements,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
https://www.gn.com/Newsroom/News,News archive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
https://www.gn.com/Newsroom#mediacontacts,Media contacts,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
https://www.gn.com/Newsroom/Media-library,Media library,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
https://www.gn.com/Newsroom/Media-library?images,Images,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
https://www.gn.com/Newsroom/Media-library?videos,Videos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
https://www.gn.com/About/Document-download-center,Document download,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
https://www.gn.com/About/Document-download-center#responsibility,Corporate responsibility,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
https://www.gn.com/About/Document-download-center#governance,Corporate governance,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
javascript:void(0);,"
            Contact
        ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Contact,Contact GN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Office-locator,Office locator,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/search,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript:void(0);,"
                About
            ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/,"
                    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/About,About GN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/About/Purpose-values,Purpose & Values,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/About/GN-strategy-2020-and-beyond,Strategy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/About/Corporate-sustainability,Sustainability I ESG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/About/Management,Management,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/About/Heritage,Heritage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript:void(0);,"
                Solutions
            ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/,"
                    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Solutions,Technology,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Solutions/Inspired-by-people,Inspired by people,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Solutions/Innovation,Innovation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Solutions/Products,Products,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
javascript:void(0);,"
                Careers
            ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
https://www.gn.com/,"
                    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Working-with-us,Working With Us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Working-with-us/Life-at-GN,Life at GN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/Working-with-us/Graduate-Program,Graduate Program,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://gn.wd3.myworkdayjobs.com/GN-Careers,Vacant positions,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
javascript:void(0);,"
                About
            ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/,"
                    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/About,About GN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/About/Purpose-values,Purpose & Values,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/About/GN-strategy-2020-and-beyond,Strategy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/About/Corporate-sustainability,Sustainability I ESG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.gn.com/About/Management,Management,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
